# E0 = 1739.03 MPa
# rel_mod, rel_time
5.456513999999999809e-02,1.000000000000000021e-02
1.990922999999999998e-02,1.000000000000000056e-01
2.259132999999999974e-02,1.000000000000000000e+00
1.145233000000000015e-02,1.000000000000000000e+01
1.162351000000000009e-02,1.000000000000000000e+02
1.134697999999999957e-02,1.000000000000000000e+03
1.228268000000000068e-02,1.000000000000000000e+04
1.641093000000000066e-02,1.000000000000000000e+05
1.282290999999999986e-02,1.000000000000000000e+06
1.109403999999999946e-02,1.000000000000000000e+07
1.295433000000000001e-02,1.000000000000000000e+08
1.738945999999999895e-02,1.000000000000000000e+09
1.582369000000000137e-02,1.000000000000000000e+10
2.112618999999999955e-02,1.000000000000000000e+11
2.115867999999999916e-02,1.000000000000000000e+12
2.413420000000000148e-02,1.000000000000000000e+13
3.404660000000000325e-02,1.000000000000000000e+14
5.111675000000000246e-02,1.000000000000000000e+15
7.523960999999999844e-02,1.000000000000000000e+16
1.091802999999999940e-01,1.000000000000000000e+17
9.671928000000000469e-02,1.000000000000000000e+18
8.814057999999999615e-02,1.000000000000000000e+19
5.242763999999999758e-02,1.000000000000000000e+20
4.113118999999999803e-02,1.000000000000000000e+21
2.662921999999999859e-02,1.000000000000000000e+22
2.208281000000000133e-02,9.999999999999999161e+22
1.375225000000000058e-02,9.999999999999999832e+23
1.256889999999999917e-02,1.000000000000000091e+25
1.153754000000000064e-02,1.000000000000000048e+26
1.070454000000000024e-02,1.000000000000000013e+27
1.161637000000000086e-02,9.999999999999999583e+27
