t,E_relax,T,Set
s,MPa,°C,-
10,8097.175545,-49.9612,0
4.641598938,8576.843825,-49.9617,0
2.154434149,8725.535057,-49.7383,0
1,8781.764697,-49.8128,0
0.464159894,8877.948335,-49.8721,0
0.215443415,8901.620908,-49.9172,0
0.1,8999.484824,-49.917,0
0.046415989,9082.892328,-49.9614,0
0.021544341,9144.791876,-49.9612,0
0.01,9228.633356,-49.9912,0
10,8438.976092,-42.4885,1
4.641598938,8584.648382,-42.3992,1
2.154434149,8611.509577,-42.4136,1
1,8631.461135,-42.3841,1
0.464159894,8685.493596,-42.4431,1
0.215443415,8759.57567,-42.5026,1
0.1,8784.259703,-42.4731,1
0.046415989,8841.743223,-42.4731,1
0.021544341,8900.481984,-42.4731,1
0.01,8974.480135,-42.4587,1
10,8194.023606,-34.955,2
4.641598938,8387.629222,-34.9393,2
2.154434149,8410.523191,-34.9096,2
1,8446.913515,-34.8949,2
0.464159894,8479.369053,-34.9248,2
0.215443415,8528.933057,-34.9102,2
0.1,8576.760981,-34.9545,2
0.046415989,8616.002423,-34.9248,2
0.021544341,8667.855007,-34.9096,2
0.01,8735.188062,-34.8804,2
10,8013.000916,-27.3995,3
4.641598938,8134.995839,-27.4746,3
2.154434149,8203.000971,-27.43,3
1,8227.099709,-27.4144,3
0.464159894,8253.234653,-27.4147,3
0.215443415,8316.063162,-27.4292,3
0.1,8361.894572,-27.3846,3
0.046415989,8395.442376,-27.3546,3
0.021544341,8433.698123,-27.3997,3
0.01,8493.610512,-27.3995,3
10,7889.336773,-19.827,4
4.641598938,7960.746038,-20.0227,4
2.154434149,7991.138018,-20.0375,4
1,8028.887131,-20.0223,4
0.464159894,8070.177856,-20.0227,4
0.215443415,8104.646573,-20.0078,4
0.1,8138.671064,-19.9925,4
0.046415989,8160.28636,-19.9925,4
0.021544341,8194.098346,-19.9777,4
0.01,8248.301101,-19.992,4
10,7729.192302,-12.0674,5
4.641598938,7641.961888,-12.1888,5
2.154434149,7692.530512,-12.2643,5
1,7764.858496,-12.3248,5
0.464159894,7798.48507,-12.3395,5
0.215443415,7859.287837,-12.3694,5
0.1,7885.917569,-12.3692,5
0.046415989,7917.068457,-12.3548,5
0.021544341,7948.898072,-12.3548,5
0.01,7995.739574,-12.3697,5
10,7355.86341,-4.56833,6
