t,E_relax
s, MPa
0.00281764,1714.266
0.025827406,1646.3516
0.055724036,1625.5221
0.08924993099999999,1618.0491
0.12278059,1613.382
0.15214667,1610.7285
0.18103014,1607.9470000000001
0.21337104,1605.1436
0.24576645,1603.036
0.27918419,1601.0302
0.31172752,1599.5013
0.34512526,1598.0421
0.3775354,1596.7736
0.41103223,1595.9824
0.44346294,1594.8553
0.47695178,1594.0442
0.50936586,1593.2295
0.54287052,1592.4954
0.57525551,1591.838
0.60880119,1591.4888
0.64121181,1590.8308
0.67472184,1590.3119
0.70711035,1589.4429
0.74063408,1588.7897
0.93043995,1582.0659
1.1662258,1579.9185
1.4011497,1577.1459
1.6630675,1574.9014
1.9252422999999999,1573.0139
2.1966362,1571.1176
2.4587924,1569.6787
2.7299545,1568.1421
2.9922322999999995,1566.781
3.2634594,1565.5464
3.5255706,1564.5179
3.7964683,1563.8224
4.0590367,1562.7314
4.3272543,1562.1875
4.592599400000001,1560.8416
4.8585205,1560.6295
5.1261897,1559.6953
5.3888202000000005,1559.0594
5.6594834,1558.4205
5.9218335,1557.7876
6.192997,1557.1597
7.243446799999999,1560.6453
8.970572500000001,1558.4921
10.69575,1556.3578
12.40179,1555.1857
13.981923000000002,1553.8506
15.550296,1552.62
17.196737,1551.1354
18.911825,1550.2631
20.593149,1549.2058
22.2715,1548.4712
23.987959,1547.6503
25.712999,1546.5789
27.440331,1545.9714
29.108252,1545.2845
30.835346,1544.6395
32.561676,1543.7651
34.241721999999996,1543.5315
35.956619,1542.8026
37.68116,1542.2135
41.493195,1543.0189
55.347801000000004,1540.661
69.217873,1538.5947
83.024689,1537.0774
96.885719,1535.6749
110.76428999999999,1534.5042
124.58722,1533.3606
138.42752,1532.5865
152.3166,1531.6062
166.14658,1530.5608
179.75458,1530.0784
192.91353,1529.1787
206.30865,1528.7297
219.25356000000002,1528.0668
232.53767000000002,1527.5032
245.65286,1527.0757
259.39725,1526.2267
273.27805,1525.7158
286.95153999999997,1525.4265
307.24594,1524.9833
466.30182,1521.7753
611.09387,1519.5209
764.4735099999999,1517.6331
923.7601300000001,1515.9628
1090.5266,1514.7094
1253.3287,1513.2964
1418.6293,1511.9581
1586.3708,1510.9609
1749.8235,1510.1036
1914.8685,1509.2114
2080.6875,1508.4426
2243.6614,1507.645
2410.3059,1506.9089
2576.3582,1506.3129999999999
2739.8662,1505.7073
2906.4983,1504.9634
3070.8765,1504.5762
3233.7625,1504.0889
3401.4788,1503.6176
3567.2344,1503.2202
5088.1157,1499.9663
7072.8594,1496.9806
9059.752,1494.6504
11045.323,1492.6406
13030.311000000002,1491.0436
15016.661,1489.6075
17002.098,1488.2898
18988.475,1487.3888
20974.408,1486.2327
22959.924,1485.1726
24946.33,1484.2927
26931.267999999996,1483.4473
28916.744,1482.6479
30903.131,1481.6792
32888.066,1481.0045
34874.613,1480.5856
36860.16,1479.7233
38845.566,1479.2999
40831.141,1478.6021
42816.598,1478.0299
44802.453,1477.5914
