t,E_relax
46788.602,1477.0059
48773.496,1476.3615
50693.797,1475.9579
52613.508,1475.4791
55725.664000000004,1475.4449
62496.816,1474.0858
69428.805,1473.0758
76928.07,1471.9213
84180.758,1470.8369
91600.555,1469.5944
98932.79699999999,1468.8123
106435.82,1468.1932
113936.59,1467.2814
121187.91,1466.4414
128688.55,1465.7498
136189.95,1465.0227
143473.02,1464.3986
229156.16,1458.4374
935750.19,1443.7251
1499559.1,1439.4961
2197175.2,1436.264
2915033.0,1433.8557
3619144.8,1432.0482
4335055.5,1430.5504
5043771.5,1429.3984
5752143.0,1428.1979
6468710.0,1427.2651
7172313.0,1426.47
7890173.0,1425.6222
8594857.0,1425.0029
9308895.0,1424.2074
10019704.0,1423.7079999999999
10726983.0,1423.0437
11443576.0,1422.601
12147426.0,1422.0629
12864772.0,1421.5875
13571059.0,1421.1837
14283735.0,1420.5592
15319498.0,1419.7368
27380594.0,1413.9127
37755708.0,1410.6958
50449936.0,1407.8831
63549704.0,1405.4935
76646600.0,1403.5936
89743648.0,1402.0958
102837448.0,1400.6859
115926808.0,1399.4054
129009224.0,1398.2782
142070912.0,1397.1749
155149856.0,1396.1715
168207472.0,1395.3192
181267360.0,1394.4117
194322256.0,1393.6951
207378000.0,1392.9526
220431776.0,1392.1901
233485264.0,1391.6304
246538496.0,1390.9972
259587504.0,1390.2903
335370208.0,1387.454
738578304.0,1378.5963
1143781376.0,1373.3088
1548885632.0,1369.4833
1953928576.0,1366.5406
2359022592.0,1364.0103
2742473472.0,1361.9547
3109566976.0,1360.0411
3476591872.0,1358.4918
3871357696.0,1356.8457
4262965248.0,1355.3644
4667918848.0,1354.0115
5059587584.0,1352.6862
5464766976.0,1351.4562
5869868544.0,1350.2762
6261430784.0,1349.2562
6666458624.0,1348.2104
7071612416.0,1347.2095
7463667200.0,1346.359
7868256768.0,1345.4629
22999044096.0,1334.4426
62001033216.0,1320.4517
101016000000.0,1313.0035
133866000000.0,1307.7407
169507000000.0,1304.2722
206380000000.0,1301.1614
245341000000.0,1298.1055
283077000000.0,1295.6361
320789000000.0,1293.2097
359594000000.0,1290.8833
397507000000.0,1289.0404
435218000000.0,1287.1008
473640000000.0,1285.3821
511954000000.0,1283.7328
549660000000.0,1282.1732
587650000000.0,1280.8737
626379000000.0,1279.1941
664102000000.0,1278.048
701809000000.0,1276.7067
740775000000.0,1275.4366
805270000000.0,1274.9904
1876380000000.0,1263.9336
3361500000000.0,1254.2104
4873410000000.0,1247.6648
6384310000000.0,1242.0815
7897500000000.0,1237.8658
9408470000000.0,1234.1819
10921800000000.0,1230.8969
12431600000000.0,1227.7592
13946100000000.0,1225.2272
15455700000000.0,1222.7043
16884100000000.0,1219.9189
18314600000000.0,1217.9722
19734300000000.0,1216.4226
21152100000000.0,1215.0089
22661800000000.0,1213.361
24176100000000.0,1211.7103
25635400000000.0,1209.9634
27148600000000.0,1208.6281
28647200000000.0,1206.6133
30121200000000.0,1205.6416
31632100000000.0,1204.2139
34371000000000.0,1202.6615
50679300000000.0,1193.6497
67420100000000.0,1186.3016
84145300000000.0,1180.2822
100866000000000.0,1174.9608
117588000000000.0,1170.4773
134328000000000.0,1166.4247
151087000000000.0,1162.7705
167846000000000.0,1159.6475
184615000000000.0,1156.4189
201392000000000.0,1153.2227
218163000000000.0,1150.3726
234913000000000.0,1147.9435
251647000000000.0,1145.4426
268359000000000.0,1142.9385
285080000000000.0,1140.8021
301811000000000.0,1138.5223
318562000000000.0,1136.526
335303000000000.0,1134.4742
352072000000000.0,1132.5048
476800000000000.0,1123.0308
712464000000000.0,1107.6102
908491000000000.0,1097.4896
1133720000000000.0,1088.3807
1364900000000000.0,1080.0535
1603210000000000.0,1072.3732
1837030000000000.0,1065.6893
2069070000000000.0,1059.5519
2307620000000000.0,1053.8464
2541240000000000.0,1048.9205
2773240000000000.0,1044.0172
3010780000000000.0,1039.2568
3245360000000000.0,1034.979
3477400000000000.0,1031.1604
3715150000000000.0,1027.4983
3949520000000000.0,1023.7531
4181540000000000.0,1020.3309
4417590000000000.0,1017.3088
4653710000000000.0,1013.7487
8274070000000000.0,985.76349
1.88e+16,933.01935
2.93e+16,901.8701800000001
3.91e+16,876.24011
4.82e+16,864.4860800000001
5.83e+16,849.8018199999999
6.85e+16,836.61774
7.9e+16,824.3104900000001
8.91e+16,815.30975
9.93e+16,805.67773
1.1e+17,797.75037
1.2e+17,790.21362
1.3e+17,782.7262
1.41e+17,776.42883
1.51e+17,769.94281
1.61e+17,764.4209
1.71e+17,759.0336900000001
1.82e+17,753.9436599999999
1.92e+17,749.10382
2.02e+17,744.49786
3.26e+17,713.37903
8.51e+17,644.3566900000001
1.38e+18,610.20532
1.85e+18,586.10321
2.33e+18,571.9954799999999
2.83e+18,559.711
3.35e+18,548.0816
3.86e+18,538.83868
4.37e+18,530.3183
4.89e+18,522.72546
5.4e+18,516.4008200000001
5.91e+18,510.56232
6.43e+18,504.97675
6.94e+18,500.00674000000004
7.45e+18,495.49994000000004
7.96e+18,491.34167
8.48e+18,487.07565
8.99e+18,483.44717
9.5e+18,480.19669000000005
1e+19,476.41452000000004
1.18e+19,470.35281
3.34e+19,418.89398
5.2e+19,397.22995
7.32e+19,382.0491
9.48e+19,370.0687
1.16e+20,360.97794
1.38e+20,353.97314
1.59e+20,347.77701
1.81e+20,342.79202000000004
2.03e+20,338.36554
2.24e+20,333.75442999999996
4.47e+20,316.18439
9.22e+20,293.52414
1.41e+21,281.33218
1.9e+21,272.94705
2.4e+21,267.00772
2.89e+21,262.11917
3.38e+21,258.07806
3.87e+21,254.69922999999997
4.36e+21,251.65839
4.85e+21,248.83277999999999
9.37e+21,237.7921
1.69e+22,226.99586000000002
2.44e+22,220.38676
3.18e+22,215.32254
3.85e+22,212.0321
4.52e+22,209.30095
5.18e+22,206.93356
5.85e+22,205.01936
6.52e+22,203.29117
7.18e+22,201.74542
7.85e+22,200.32372
8.52e+22,199.04871
9.19e+22,197.82535
9.85e+22,196.64366
1.05e+23,195.65816999999998
1.12e+23,194.76582
1.19e+23,193.80063
1.25e+23,193.00063
1.32e+23,192.2218
1.38e+23,191.37442
1.45e+23,190.71726999999998
1.6e+23,189.76495
2.12e+23,186.09956
2.65e+23,183.42725
3.18e+23,181.06573
3.69e+23,179.26559
4.22e+23,177.58145
4.74e+23,176.13544
5.27e+23,174.79164
5.78e+23,173.65691999999999
6.31e+23,172.57561
6.82e+23,171.66179
7.35e+23,170.60884
7.86e+23,169.89676
8.39e+23,169.03842
8.9e+23,168.37114
9.42e+23,167.74062
9.94e+23,167.13956000000002
1.05e+24,166.3324
1.1e+24,165.99022
1.15e+24,165.36285
1.22e+24,165.6601
1.6e+24,163.69236999999998
1.99e+24,161.39594
2.38e+24,159.6539
2.77e+24,158.08635
3.16e+24,156.76413
3.55e+24,155.65237
3.93e+24,154.5883
4.32e+24,153.52678
4.7e+24,152.64174
5.09e+24,151.78374
5.47e+24,151.01511000000002
5.86e+24,150.36192
6.24e+24,149.64803
6.63e+24,148.97659
7.01e+24,148.53978
7.4e+24,147.97771
7.78e+24,147.54355
8.17e+24,147.03413
8.55e+24,146.44887
8.94e+24,146.09024
1.11e+25,144.40733
1.38e+25,142.47253
1.64e+25,140.76843
1.91e+25,139.47356000000002
2.17e+25,138.11087
2.44e+25,137.25772
2.7e+25,136.18246000000002
2.97e+25,135.22675
3.23e+25,134.44284
3.49e+25,133.83551
3.76e+25,133.21857
4.02e+25,132.66241000000002
4.29e+25,132.1982
4.55e+25,131.5276
4.82e+25,130.9279
5.07e+25,130.40686000000002
5.34e+25,129.9821
5.6e+25,129.71695
5.86e+25,129.29054
6.8e+25,127.69236000000001
8.72e+25,125.7873
1.07e+26,124.01736000000001
1.26e+26,122.66088
1.45e+26,121.49328999999999
1.64e+26,120.39771
1.84e+26,119.35316
2.03e+26,118.7592
2.22e+26,117.88726000000001
2.42e+26,117.10456
2.61e+26,116.6819
2.8e+26,115.9749
2.99e+26,115.52778
3.19e+26,114.91937
3.38e+26,114.52658999999998
3.57e+26,113.8647
3.77e+26,113.37241000000002
3.96e+26,113.14214
4.15e+26,112.70406000000001
4.34e+26,112.29163
4.74e+26,111.30537
6.08e+26,109.4878
7.43e+26,107.98253000000001
8.63e+26,106.58896000000001
9.78e+26,105.42386
1.09e+27,104.63675
1.21e+27,103.91839
1.32e+27,103.29729
1.44e+27,102.53664
1.55e+27,101.98298
1.66e+27,101.4053
1.78e+27,100.77639
1.89e+27,100.49332
2.01e+27,99.69163499999999
2.12e+27,99.509918
2.24e+27,98.99434699999999
2.35e+27,98.72377
2.47e+27,98.406975
2.58e+27,97.858582
2.71e+27,97.619606
3.39e+27,95.851456
4.14e+27,94.475716
4.9e+27,93.43354000000001
5.65e+27,92.298775
6.4e+27,91.33624300000001
7.15e+27,90.587029
7.9e+27,89.83538100000001
8.65e+27,89.2556
9.4e+27,88.59326899999999
1.01e+28,88.037918
1.09e+28,87.547165
1.16e+28,86.968452
1.24e+28,86.488457
1.31e+28,86.216965
1.39e+28,85.706467
