T,log_aT
C, -
100,-11.7
92,-10.92
85,-10.08
77,-9.18
70,-8.46
62,-7.74
55,-7.02
47,-6.36
40,-5.64
32,-4.86
25,-4.08
18,-3.3
10,-2.4
3,-1.26
-5,0
-12,1.2
-20,2.58
-27,4.2
-35,6.3
-42,9.06
-50,12.75
