t,E_relax,T,Set
0,10.0,8097.175545,-49.9612,0
1,4.641598938002163,8576.843825,-49.9617,0
2,2.1544341486430296,8725.535057,-49.7383,0
3,1.0,8781.764697,-49.8128,0
4,0.46415989380021627,8877.948335,-49.8721,0
5,0.21544341486430296,8901.620908,-49.9172,0
6,0.1,8999.484824,-49.917,0
7,0.04641598938002163,9082.892328,-49.9614,0
8,0.021544341486430297,9144.791876,-49.9612,0
9,0.01,9228.633356,-49.9912,0
10,10.0,8438.976092,-42.4885,1
11,4.641598938002163,8584.648382,-42.3992,1
12,2.1544341486430296,8611.509577,-42.4136,1
13,1.0,8631.461135,-42.3841,1
14,0.46415989380021627,8685.493596,-42.4431,1
15,0.21544341486430296,8759.57567,-42.5026,1
16,0.1,8784.259703,-42.4731,1
17,0.04641598938002163,8841.743223,-42.4731,1
18,0.021544341486430297,8900.481984,-42.4731,1
19,0.01,8974.480135,-42.4587,1
20,10.0,8194.023606,-34.955,2
21,4.641598938002163,8387.629222,-34.9393,2
22,2.1544341486430296,8410.523191,-34.9096,2
23,1.0,8446.913515,-34.8949,2
24,0.46415989380021627,8479.369053,-34.9248,2
25,0.21544341486430296,8528.933057,-34.9102,2
26,0.1,8576.760981,-34.9545,2
27,0.04641598938002163,8616.002423,-34.9248,2
28,0.021544341486430297,8667.855007,-34.9096,2
29,0.01,8735.188062,-34.8804,2
30,10.0,8013.000916,-27.3995,3
31,4.641598938002163,8134.995839,-27.4746,3
32,2.1544341486430296,8203.000971,-27.43,3
33,1.0,8227.099709,-27.4144,3
34,0.46415989380021627,8253.234653,-27.4147,3
35,0.21544341486430296,8316.063162,-27.4292,3
36,0.1,8361.894572,-27.3846,3
37,0.04641598938002163,8395.442376,-27.3546,3
38,0.021544341486430297,8433.698123,-27.3997,3
39,0.01,8493.610512,-27.3995,3
40,10.0,7889.336773,-19.827,4
41,4.641598938002163,7960.746038,-20.0227,4
42,2.1544341486430296,7991.138018,-20.0375,4
43,1.0,8028.887131,-20.0223,4
44,0.46415989380021627,8070.177856,-20.0227,4
45,0.21544341486430296,8104.646573,-20.0078,4
46,0.1,8138.671064,-19.9925,4
47,0.04641598938002163,8160.28636,-19.9925,4
48,0.021544341486430297,8194.098346,-19.9777,4
49,0.01,8248.301101,-19.992,4
50,10.0,7729.192302,-12.0674,5
51,4.641598938002163,7641.961888,-12.1888,5
52,2.1544341486430296,7692.530512,-12.2643,5
53,1.0,7764.858496,-12.3248,5
54,0.46415989380021627,7798.48507,-12.3395,5
55,0.21544341486430296,7859.287837,-12.3694,5
56,0.1,7885.917569,-12.3692,5
57,0.04641598938002163,7917.068457,-12.3548,5
58,0.021544341486430297,7948.898072,-12.3548,5
59,0.01,7995.739574,-12.3697,5
60,10.0,7355.86341,-4.56833,6
61,4.641598938002163,7328.882578,-4.67422,6
62,2.1544341486430296,7398.998327,-4.71953,6
63,1.0,7474.576985,-4.76453,6
64,0.46415989380021627,7530.968619,-4.77986,6
65,0.21544341486430296,7583.824555,-4.79507,6
66,0.1,7627.061809,-4.81003,6
67,0.04641598938002163,7662.168779,-4.82504,6
68,0.021544341486430297,7695.786187,-4.84019,6
69,0.01,7738.785759,-4.84019,6
70,10.0,6771.782922,2.69884,7
71,4.641598938002163,6914.564063,2.56241,7
72,2.1544341486430296,7030.489017,2.51697,7
73,1.0,7125.995583,2.48694,7
74,0.46415989380021627,7206.733827,2.45689,7
75,0.21544341486430296,7244.995613,2.47179,7
76,0.1,7333.720543,2.48644,7
77,0.04641598938002163,7368.964349,2.48624,7
78,0.021544341486430297,7408.112826,2.45663,7
79,0.01,7458.231001,2.47134,7
80,10.0,6356.331384,10.1848,8
81,4.641598938002163,6483.829784,9.95763,8
82,2.1544341486430296,6612.198736,9.94223,8
83,1.0,6744.614073,9.9269,8
84,0.46415989380021627,6831.338506,9.91194,8
85,0.21544341486430296,6915.943564,9.89729,8
86,0.1,6984.41182,9.91176,8
87,0.04641598938002163,7046.333234,9.89685,8
88,0.021544341486430297,7099.298451,9.91194,8
89,0.01,7155.522726,9.91176,8
90,10.0,5983.471376,17.9849,9
91,4.641598938002163,6018.681313,17.9539,9
92,2.1544341486430296,6130.272028,17.8782,9
93,1.0,6238.89434,17.8629,9
94,0.46415989380021627,6365.895237,17.8324,9
95,0.21544341486430296,6467.477762,17.8174,9
96,0.1,6540.023289,17.8018,9
97,0.04641598938002163,6624.144294,17.7862,9
98,0.021544341486430297,6699.680204,17.7865,9
99,0.01,6766.961727,17.7714,9
100,10.0,5371.470844,24.9569,10
101,4.641598938002163,5448.045779,24.9572,10
102,2.1544341486430296,5547.296924,24.9569,10
103,1.0,5685.851394,24.9567,10
104,0.46415989380021627,5807.084069,24.9719,10
105,0.21544341486430296,5947.491018,25.0022,10
106,0.1,6054.644816,24.9874,10
107,0.04641598938002163,6168.695227,24.9876,10
108,0.021544341486430297,6261.136475,25.0025,10
109,0.01,6348.481816,25.0025,10
110,10.0,4596.366433,32.4698,11
111,4.641598938002163,4696.087049,32.4848,11
112,2.1544341486430296,4816.828293,32.4846,11
113,1.0,4956.234074,32.4846,11
114,0.46415989380021627,5119.798303,32.4545,11
115,0.21544341486430296,5280.004854,32.4543,11
116,0.1,5408.582618,32.4543,11
117,0.04641598938002163,5555.714447,32.4389,11
118,0.021544341486430297,5680.572429,32.4386,11
119,0.01,5796.253545,32.4538,11
120,10.0,3559.704139,39.9783,12
121,4.641598938002163,3681.238519,39.9934,12
122,2.1544341486430296,3864.143146,39.9783,12
123,1.0,4049.440994,39.963,12
124,0.46415989380021627,4232.51623,39.9628,12
125,0.21544341486430296,4411.794238,39.9479,12
126,0.1,4573.062446,39.963,12
127,0.04641598938002163,4751.832246,39.9778,12
128,0.021544341486430297,4916.504619,39.9628,12
129,0.01,5070.381533,39.9628,12
130,10.0,2387.425014,47.4629,13
131,4.641598938002163,2569.567755,47.4938,13
132,2.1544341486430296,2782.956198,47.4779,13
133,1.0,2983.666171,47.4935,13
134,0.46415989380021627,3189.815057,47.4784,13
135,0.21544341486430296,3400.070746,47.4776,13
136,0.1,3583.894456,47.4935,13
137,0.04641598938002163,3797.598315,47.4938,13
138,0.021544341486430297,4006.63053,47.5087,13
139,0.01,4196.406132,47.4935,13
140,10.0,1481.478596,54.9745,14
141,4.641598938002163,1704.569324,54.9592,14
142,2.1544341486430296,1899.471118,54.9286,14
143,1.0,2110.429723,54.9589,14
144,0.46415989380021627,2328.879383,54.9742,14
145,0.21544341486430296,2548.367292,54.9742,14
146,0.1,2760.928066,54.9748,14
147,0.04641598938002163,2999.19326,54.9744,14
148,0.021544341486430297,3227.244497,54.9744,14
149,0.01,3443.382699,54.9744,14
150,10.0,910.3447771,62.4929,15
151,4.641598938002163,1072.069988,62.4774,15
152,2.1544341486430296,1240.523141,62.447,15
153,1.0,1424.089533,62.4927,15
154,0.46415989380021627,1618.583607,62.478,15
155,0.21544341486430296,1825.379601,62.4928,15
156,0.1,2044.209521,62.4776,15
157,0.04641598938002163,2276.548706,62.4624,15
158,0.021544341486430297,2509.384886,62.4471,15
159,0.01,2737.80329,62.4626,15
160,10.0,570.8900535,69.993,16
161,4.641598938002163,672.0708752,69.9619,16
162,2.1544341486430296,787.2921788,69.993,16
163,1.0,922.8825282,69.9772,16
164,0.46415989380021627,1079.488656,69.9775,16
165,0.21544341486430296,1247.217777,69.9928,16
166,0.1,1446.967871,69.9777,16
167,0.04641598938002163,1662.544473,69.9772,16
168,0.021544341486430297,1884.884505,69.9772,16
169,0.01,2112.024949,70.0231,16
170,10.0,395.3765027,77.4677,17
171,4.641598938002163,450.6316485,77.484,17
172,2.1544341486430296,518.7644263,77.483,17
173,1.0,603.7319121,77.483,17
174,0.46415989380021627,707.1324457,77.4523,17
175,0.21544341486430296,833.9380404,77.483,17
176,0.1,984.1948307,77.4828,17
177,0.04641598938002163,1160.114342,77.4986,17
178,0.021544341486430297,1356.336965,77.4986,17
179,0.01,1562.466937,77.4986,17
180,10.0,312.6420012,84.9711,18
181,4.641598938002163,341.8567493,85.0169,18
182,2.1544341486430296,379.3276071,85.0169,18
183,1.0,427.1190562,84.9706,18
184,0.46415989380021627,489.2555305,84.9396,18
185,0.21544341486430296,570.2490262,84.9394,18
186,0.1,671.0917496,84.9396,18
187,0.04641598938002163,798.6945393,84.9242,18
188,0.021544341486430297,950.3679301,84.909,18
189,0.01,1119.642267,84.8932,18
190,10.0,274.8175875,92.4327,19
191,4.641598938002163,290.492497,92.4641,19
192,2.1544341486430296,311.5237599,92.4794,19
193,1.0,338.2958374,92.4951,19
194,0.46415989380021627,374.1784321,92.4794,19
195,0.21544341486430296,422.4599995,92.4637,19
196,0.1,483.2463945,92.4639,19
197,0.04641598938002163,565.6804809,92.4332,19
198,0.021544341486430297,669.8485286,92.4483,19
199,0.01,795.1429644,92.4176,19
200,10.0,256.5478707,99.9694,20
201,4.641598938002163,267.2721472,99.9694,20
202,2.1544341486430296,279.8298892,99.9542,20
203,1.0,295.9974298,99.9387,20
204,0.46415989380021627,316.1914395,100.016,20
205,0.21544341486430296,344.4897136,100.001,20
206,0.1,381.2736917,99.9852,20
207,0.04641598938002163,431.5442613,100.016,20
208,0.021544341486430297,497.9888407,100.001,20
209,0.01,585.8391184,100.001,20
