Temp,aT
100,-19.02
92,-18.24
85,-17.4
77,-16.5
70,-15.48
62,-14.4
55,-13.14
47,-11.64
40,-9.72
32,-7.74
25,-6.12
18,-4.62
10,-3.18
3,-1.68
-5,0
-12,1.62
-20,3.54
-27,5.1
-35,6.96
-43,9.12
-50,11.1
